"対象","科目","No","タイトル","公開日","URL","長さ"
"中学3年","国語","2","漢詩 俳句","2020-05-08T13:02:07.000Z","https://www.youtube.com/watch?v=WpO6IoVFiI0","00:15:01"
"小学1年","算数","2","かずとすうじ(1)","2020-05-01T09:35:20.000Z","https://www.youtube.com/watch?v=MsNv-qtSaT0","00:14:20"
"中学3年","数学","5","いろいろな因数分解","2020-05-01T00:00:02.000Z","https://www.youtube.com/watch?v=64WJfwVBa50","00:15:00"
"中学2年","英語","5","日記(2)","2020-05-01T00:00:14.000Z","https://www.youtube.com/watch?v=VRP15XmyIYQ","00:15:00"
"中学1年","数学","5","正の数・負の数の乗法","2020-05-01T00:00:02.000Z","https://www.youtube.com/watch?v=7KDkianS2d4","00:12:44"
"小学6年","算数","3","まわしてぴったり重なる形","2020-05-01T00:00:19.000Z","https://www.youtube.com/watch?v=fCubJLX6BF0","00:15:00"
"小学4年","算数","3","角とその大きさ(2)","2020-05-01T00:00:29.000Z","https://www.youtube.com/watch?v=vE5Fr7QGRgE","00:12:07"
"小学2年","算数","4","たし算とひき算","2020-05-01T00:00:04.000Z","https://www.youtube.com/watch?v=GmPnL2Tx1qw","00:13:12"
"高校1年","英語","15","仮定法","2020-04-30T00:00:06.000Z","https://www.youtube.com/watch?v=L_zQHOexzYk","00:08:48"
"高校1年","英語","14","後置修飾","2020-04-30T00:00:10.000Z","https://www.youtube.com/watch?v=UWaN6FqH7KQ","00:10:51"
"中学3年","英語","5","日本文化紹介","2020-04-30T00:00:00.000Z","https://www.youtube.com/watch?v=2Oah7SK29cU","00:15:00"
"中学2年","数学","5","単項式の除法","2020-04-30T00:00:06.000Z","https://www.youtube.com/watch?v=cG-8Qg-LYZw","00:13:10"
"中学1年","英語","5","自己紹介(まとめ)","2020-04-30T00:00:12.000Z","https://www.youtube.com/watch?v=p0DS5IRCbnc","00:15:00"
"小学5年","算数","3","体積","2020-04-30T00:00:23.000Z","https://www.youtube.com/watch?v=hgMg_fUnTRg","00:10:05"
"小学3年","算数","3","わり算","2020-04-30T00:00:00.000Z","https://www.youtube.com/watch?v=4XaRpiTac3U","00:14:11"
"小学1年","算数","4","かずとすうじ(3)","2020-04-30T00:00:04.000Z","https://www.youtube.com/watch?v=EEzSVGGeHco","00:11:49"
"小学1年","国語","2","あいさつをしてみよう","2020-04-29T00:00:05.000Z","https://www.youtube.com/watch?v=5Er43hgDx5Y","00:11:17"
"中学3年","数学","4","因数分解(2)","2020-04-29T00:00:01.000Z","https://www.youtube.com/watch?v=9UCPkcRtMoE","00:15:03"
"中学2年","英語","4","日記(1)","2020-04-29T00:00:02.000Z","https://www.youtube.com/watch?v=2u0tmz-TViA","00:15:01"
"中学1年","数学","4","加法と減法の混じった計算","2020-04-29T00:00:02.000Z","https://www.youtube.com/watch?v=5Nmn9Ot2LFU","00:14:31"
"小学6年","国語","2","いろいろな文の組み立て","2020-04-29T00:00:23.000Z","https://www.youtube.com/watch?v=kgGYzEERAcw","00:15:01"
"小学4年","国語","2","分かりやすい文を書こう","2020-04-29T00:00:03.000Z","https://www.youtube.com/watch?v=N6XgPXlRcL0","00:15:01"
"小学2年","算数","3","時こくと時間","2020-04-29T00:00:24.000Z","https://www.youtube.com/watch?v=stJ0b5JNeYw","00:14:41"
"高校1年","英語","13","不定詞・動名詞","2020-04-28T00:00:16.000Z","https://www.youtube.com/watch?v=tFijtYSgCVM","00:09:11"
"高校1年","英語","12","比較","2020-04-28T00:00:26.000Z","https://www.youtube.com/watch?v=yMclFmBDe6A","00:12:26"
"高校1年","数学","24","絶対値を含む方程式・不等式(2)","2020-04-28T00:00:11.000Z","https://www.youtube.com/watch?v=URA0CbyDfYw","00:18:50"
