"タイトル","公開日","URL","長さ","科目","対象","プレイリストタイトル","No"
"受身形２（東京書籍）","2020-04-30T08:37:45Z","https://www.youtube.com/watch?v=nGtYqZIkeTY","00:07:18","英語","中学3年","「いっしょに学ぼう」中学校３年生",
"Unit１","2020-04-30T08:34:37Z","https://www.youtube.com/watch?v=nK0gBgwCqUo","00:11:38","英語","中学3年","「いっしょに学ぼう」中学校３年生",
"Unit１","2020-04-30T08:34:37Z","https://www.youtube.com/watch?v=Rq2fKyRdXTs","00:12:13","英語","中学3年","「いっしょに学ぼう」中学校３年生",
"Unit１","2020-04-30T08:34:37Z","https://www.youtube.com/watch?v=b_pHEDeGkw4","00:07:56","英語","中学3年","「いっしょに学ぼう」中学校３年生",
"Lesson １","2020-04-30T08:34:37Z","https://www.youtube.com/watch?v=a-gLysodALQ","00:09:48","英語","中学3年","「いっしょに学ぼう」中学校３年生",
"平方根⑧","2020-04-30T08:32:57Z","https://www.youtube.com/watch?v=0IxnzZAriqg","00:06:37","数学","中学3年","「いっしょに学ぼう」中学校３年生",
"平方根⑦","2020-04-30T08:32:57Z","https://www.youtube.com/watch?v=ca5SquW4WFI","00:05:39","数学","中学3年","「いっしょに学ぼう」中学校３年生",
"平方根⑥","2020-04-30T08:32:41Z","https://www.youtube.com/watch?v=7aRSsCkPkkQ","00:08:35","数学","中学3年","「いっしょに学ぼう」中学校３年生",
"情報①","2020-04-30T08:31:06Z","https://www.youtube.com/watch?v=FXQTAx_ShMU","00:01:43","技術","中学生","「いっしょに学ぼう」中学校３年生",
"エネルギー変換③","2020-04-30T08:31:06Z","https://www.youtube.com/watch?v=vkavMIB6o_g","00:03:00","技術","中学生","「いっしょに学ぼう」中学校３年生",
"テーマを決める　番外編","2020-04-23T11:15:34Z","https://www.youtube.com/watch?v=D92Dw9JANq4","00:05:04","総合","中学生","「いっしょに学ぼう」中学校３年生",
"平方根⑤","2020-04-23T11:15:34Z","https://www.youtube.com/watch?v=KouxadmTQuU","00:04:51","数学","中学3年","「いっしょに学ぼう」中学校３年生",
"平方根①","2020-04-23T11:15:34Z","https://www.youtube.com/watch?v=X2-dAJz5tvc","00:04:23","数学","中学3年","「いっしょに学ぼう」中学校３年生",
"平方根②","2020-04-23T11:15:34Z","https://www.youtube.com/watch?v=8aL92soDzSU","00:04:46","数学","中学3年","「いっしょに学ぼう」中学校３年生",
"展開④","2020-04-23T11:15:34Z","https://www.youtube.com/watch?v=oA8K1l1B6Rg","00:04:32","数学","中学3年","「いっしょに学ぼう」中学校３年生",
"平方根③","2020-04-23T11:15:34Z","https://www.youtube.com/watch?v=JU6rgCIQEbs","00:04:41","数学","中学3年","「いっしょに学ぼう」中学校３年生",
"平方根④","2020-04-23T11:15:34Z","https://www.youtube.com/watch?v=rtBZJUFrr7Q","00:02:57","数学","中学3年","「いっしょに学ぼう」中学校３年生",
"学びて時にこれを習ふ 前編","2020-04-22T23:42:25Z","https://www.youtube.com/watch?v=nxSue97kx90","00:06:43","国語","中学3年","「いっしょに学ぼう」中学校３年生",
"学びて時にこれを習ふ 後編","2020-04-22T23:42:25Z","https://www.youtube.com/watch?v=nbj6hn0lXk0","00:09:25","国語","中学3年","「いっしょに学ぼう」中学校３年生",
"因数分解①","2020-04-22T23:42:25Z","https://www.youtube.com/watch?v=PJZ76Vc_a7k","00:06:06","数学","中学3年","「いっしょに学ぼう」中学校３年生",
